약용식물번호,식물분류명,약용식물종명,식물과명,식물종학명,삭물생태설명,약용식물분포설명,약용식물약재명,이용방법설명,약용식물효과설명,약용식물복용방법설명
1,양치식물,부처손,부처손과(Selaginellaceae),Selaginella involvens (SW.) Spring,건조한 바위 겉에 자라는 다년초로 높이가 20cm에 달하고 잎이 없이 줄기와 뿌리가 뒤엉켜 줄기처럼 형성된 끝에서 가지가 사방으로 퍼진다. 잎은 4줄로 밀생하고 난형이며 끝이 실 같은 돌기가 되고 가장자리에 잔 톱니가 있다. 홀씨주머니 이삭은 잔가지 끝에 1개씩 달리며 네모가 진다.,"한국(전국), 중국, 일본, 러시아, 대만, 몽골, 자바, 필리핀",권백(卷柏),"전초를 봄과 가을에 채취하나, 봄에 채취한 것이 더 좋다.","복통, 월경이상, 지혈, 타박상, 탈항, 토혈, 토혈각혈, 통경, 폐기천식, 폐암, 하혈, 혈뇨, 혈변, 혈폐, 활혈","(내복): 탕전(湯煎)하거나, 환제 또는 가루약(散劑)으로 복용한다.  (외용): 짓찧거나 가루로 하여 상처 부위에 사용한다."
2,양치식물,쇠뜨기,속새과(Equisetaceae),Equisetum arvense L.,햇볕이 잘 드는 풀밭에 자라는 다년초로 영양경과 생식경이 있으며 영양경은 높이 30ㅁ40cm이고 속이 비어 있다. 잎의 수는 원줄기의 능선의 수와 같고 가지에는 3ㅁ4개의 능선이 있다. 홀씨주머니 이삭은 장타원형이고 육각형의 포자엽이 서로 밀착하여 거북등처럼 되며 안쪽에는 7개 내외의 홀씨주머니가 달린다.  ☞ 물쇠뜨기보다 줄기의 절간은 잔 점을 제외하고는 거의 평활하다.,"한국(전국), 북반구의 온대 이북지역",문형(門荊),전초를 5∼7월 채취하여 그늘에서 말린다.,"각혈, 간염, 골절번통, 관절염, 근염, 당뇨, 명안, 변비, 이뇨, 이완출혈, 임병, 자궁출혈, 장 출혈, 지해, 치질, 치핵, 칠독, 탈항, 토혈각혈, 통리수도, 폐기천식, 하리, 해수, 현벽, 활혈",(내복): 탕전(湯煎)하거나 즙(汁)을 내어 복용한다. (외용): 짓찧어 상처 부위에 붙인다.
3,양치식물,속새,속새과(Equisetaceae),Equisetum hyemale L.,산골짜기 습지에 자라는 상록 다년초로 높이 30∼60㎝이며 줄기가 모여나는 것처럼 보이고 가지가 없으며 마디 사이에 10∼18개의 능선이 있다. 퇴화한 비늘 같은 잎은 서로 붙어 마디 부분을 완전히 둘러싸서 잎집으로 되며 끝이 톱니 모양이고 각 능선과 교대로 달린다. 홀씨주머니는 원줄기 끝에 달리고 원뿔꼴이며 끝이 뾰족하다. ☞ 개속새에 비해 줄기는 단순하고 엽초의 지름이 길이와 거의 같다.,"한국(전국), 북반구의 온대 이북지역",목적(木賊),지상부를 여름부터 가을에 채취하여 그늘에서 말린다.,"명목퇴예, 명안, 부인하혈, 산풍, 소산풍열, 옹종, 인후통, 인후통증, 자궁출혈, 장염, 장 출혈, 조경, 종기, 치질, 치핵, 탈항, 통리수도, 해열, 혈변","(내복): 탕전(湯煎)하거나 환제 또는 가루약으로 복용한다. (외용): 가루 내어 상처 부위에 산포한다. ☞ 기혈이 허한 사람, 안질의 노기 등으로 붉어진 사람은 복용을 피한다."
4,양치식물,고사리삼,고사리삼과(Ophioglossaceae),Sceptridium ternatum (Thunb.) Lyon,햇볕이 잘 드는 숲이나 풀밭에 자라는 다년초로 굵은 육질의 뿌리가 사방으로 퍼진다. 잎은 2개로 갈라져 영양엽과 실엽(實葉)으로 되며 나엽(裸葉)은 잎자루가 길며 3개로 갈라지고 가장자리에 톱니가 있다. 포자엽은 나엽보다 길고 윗부분이 길게 갈라져 가지에 홀씨주머니가 달린다. ☞ 산고사리삼에 비해 포자낭 이삭이 달리는 기부에는 전년의 나엽 또는 인편이 없다.,"한국(전국), 중국, 일본, 히말라야",음지궐(陰地蕨),전초를 겨울부터 봄에 채취하여 햇볕에 말린다.,"간 보호, 급성결막염, 두통, 간질, 종창종독, 진해, 토혈, 해수, 해열, 현기증",(내복): 탕전(湯煎)하여 복용한다. (외용): 짓찧어 상처 부위에 바른다.
5,양치식물,고비,고비과(Osmundaceae),Osmunda japonica Thunb.,"산허리 이하의 숲 가장자리에 자라는 다년초로 높이 60∼100㎝이고 주먹 같은 근경에서 여러 대가 나온다. 잎은 2회 깃모양겹잎이고 우편의 길이는 20∼30㎝이다. 생식엽은 영양엽보다 일찍 나와서 일찍 쓰러지고 밑소 편은 매우 좁아져서 선형으로 되며 홀씨주머니가 밀착한다. ☞ 꿩고비, 음양고비에 비해 나엽은 난형으로 2회 우상복생한다.","한국(중남부), 중국, 일본, 대만, 필리핀, 히말라야","자기(紫箕),구척(拘脊), 관중(貫中)",근경을 가을부터 봄에 채취하여 수염뿌리와 줄기를 제거한다.,"각기, 감기, 관절통, 구충, 난관난소염, 대하, 수종, 실뇨, 양혈지혈, 요슬산통, 월경이상, 임질, 좌골신경통, 지혈, 청열해독, 코피, 토혈, 토혈각혈, 해열, 혈변, 혈붕",(내복): 탕전(湯煎)하거나 환제(丸劑)로 복용한다.
6,양치식물,관중,면마과(Dryopteridaceae),Dryopteris crassirhizoma Nakai,나무 그늘에 자라는 다년초로 높이가 100㎝에 달하며 곧은 근경에서 잎이 나온다. 잎은 도피침형으로 2회 우상으로 깊게 갈라지고 우편은 대가 없으며 깃처럼 갈라진다. 홀씨주머니 군은 위쪽 우편에 달리고 주맥 가까이에 2줄로 붙는다. ☞ 산비늘고사리에 비해 크고 자낭군은 중간 또는 중륵에 난다.,"한국(전국), 중국, 일본, 러시아",관중(貫衆),근경을 봄과 가을에 채취하여 햇볕에 말린다.,"감기, 금창, 대하, 두통, 부인하혈, 살충, 이하선염, 자궁수축, 자궁출혈, 장염, 장 출혈, 지혈, 청혈해독, 토혈각혈, 해열, 홍역, 회충증",(내복): 탕전(湯煎)하거나 환제 또는 가루약으로 복용한다. ☞ 음허내열 및 비위가 허한 사람이나 임산부는 복용을 금한다.
7,양치식물,고사리,잔고사리과(Dennstaedtiaceae),Pteridium aquilinum var. latiusculum (Desv.) Underw. ex Hell.,햇볕이 잘 드는 양지에 자라는 다년초로 높이가 1m에 이르고 굵은 땅속줄기가 옆으로 뻗으면서 잎이 나온다. 잎은 난상 삼각형으로 3회 우상으로 갈라진다. 실엽의 최종열편은 가장자리가 뒤로 말려 포막 처럼된 홀씨주머니 군이 달린다. ☞ 꿩고비보다 포자낭군은 잎 가장자리를 따라 신장하여 유합한다.,"한국(전국), 중국, 일본, 러시아",궐근(蕨根),근경을 가을부터 겨울에 채취하여 햇볕에 말린다.,"강근골, 강기, 고치, 고혈압, 부종, 소아탈항, 야뇨증, 열질, 윤장, 음수체, 이뇨, 자양강장, 지혈, 청열, 치핵, 탈항, 통경, 통변, 통리수도, 해열, 화염, 황달, 흥분제",(내복): 탕전(湯煎)하거나 환제로 복용한다.
16,나자식물,잣나무,소나무과(Pinaceae),Pinus koraiensis Siebold & Zucc.,계곡에 자라는 상록교목으로 높이가 30m에 달하며 나무껍질이 암갈색이다. 잎은 5개씩 속생하며 양면에 흰색 기공선이 있다. 꽃은 5월에 피며 5∼6개의 수꽃 차례가 새가지 밑에 달리고 2∼5개의 암꽃 차례가 가지 끝에 달린다. 열매는 구과로 다음 해 9월에 익는다.  ☞ 눈잣나무에 비해 교목이고 구과가 크며 잎이 길고 수지구가 3개이다.,"한국(전국), 중국, 일본, 러시아",해송자(海松子),구과를 가을에 채취하여 씨껍질을 벗긴 후 사용한다.,"간질, 감기, 강장보호, 건비, 고혈압, 골절번통, 관절염, 기관지염, 당뇨병, 두현, 변비, 식풍, 신허, 양음, 오로보호, 윤장, 윤폐, 이명, 임신중독증, 자양강장, 정력증진, 조해, 종독, 종창, 중풍, 진통, 청명, 토혈, 폐결핵, 폐기천식, 풍비, 해수, 허약체질, 화상 등","(내복): 탕전(湯煎)하거나, 가루약 또는 환제로 복용한다. ☞ 대변이 묽을 때는 사용을 삼간다."
17,나자식물,삼나무,낙우송과(Taxodiaceae),Cryptomeria japonica (L.f.)D.Don,식재하는 상록교목으로 높이가 40m에 달하고 나무껍질은 적갈색이며 세로로 깊게 갈라진다. 잎은 침형으로 3∼4모가 지고 예첨두이며 수지구가 중앙에 1개가 있다. 꽃은 3월에 피고 웅화수는 가지 끝에 수상화서처럼 달리며 자화수는 구형으로서 가지 끝에 1개씩 달린다. 열매는 둥글고 적갈색이다. ☞ 넓은잎삼나무보다 잎의 끝 모양이 안으로 굽는 점이 다르다.,"한국(남부), 일본",삼목근피(杉木根皮),"가지와 잎은 수시로, 열매는 늦여름에 채취하여 사용한다.","발모, 임질, 치통",(내복): 탕전(湯煎)하여 복용한다.  (외용): 뿌리껍질을 짓찧어 사용한다.
18,나자식물,향나무,측백나무과(Cupressaceae),Juniperus chinensis L.,섬이나 바닷가에 자라는 상록교목으로 높이가 23m에 달하고 1∼2년생 가지는 녹색이다. 잎은 7∼8년생부터는 비늘잎이 생기지만 맹아에서는 침엽이 나온다. 꽃은 4월에 피고 수꽃은 타원형이며 연한 자갈색이고 암꽃은 구형이며 4개의 황록색 인편이 있다. 열매는 장과와 비슷하고 다음 해 10월에 익는다.  ☞ 연필향나무보다 침엽은 3 돌려나기고 인엽은 끝이 둔하다.,"한국(울릉도, 동해안), 중국, 일본, 몽골",회엽(檜葉),"가지와 잎을 연중 채취하여 햇볕에 말리거나, 생것을 사용한다.","감기, 거풍산한, 고혈압, 곽란, 관절염, 관절통, 이뇨, 제습, 종기, 종독, 지혈, 통경, 통리수도, 풍, 풍한, 해독, 활혈, 활혈소종",(내복): 탕전(湯煎)하여 복용한다. (외용): 짓찧어 상처 부위에 붙이거나 달여서 그 김을 상처 부위에 쐬고 닦아낸다.
19,나자식물,노간주나무,측백나무과(Cupressaceae),Juniperus rigida Siebold & Zucc.,양지바른 산기슭에 자라는 상록교목으로 높이가 8m에 달하고 나무껍질이 세로로 얕게 갈라진다. 잎은 3개씩 돌려나며 능선이 있다. 꽃은 5월에 묵은 가지의 잎겨드랑이 달린다. 열매는 구형 또는 타원형으로 지름 7∼8㎜이고 다음 해 10월에 익는다. ☞ 향나무보다 침엽만 있다.,"한국(전국), 중국, 러시아",두송실(杜松實),과실을 10∼11월에 채취하여 그늘에서 말린다.,"간질, 감기, 거풍제습, 경풍, 고혈압, 곽란, 관절염, 소아경풍, 유즙결핍, 이뇨, 제습, 최유, 탄산토산, 통경, 통리수도, 풍, 풍습, 해독, 해수, 해열, 화상, 황달",(내복): 탕전(湯煎)하여 복용한다. ☞ 증류주인 진의 향료로 사용한다.
20,나자식물,측백나무,측백나무과(Cupressaceae),Thuja orientalis L.,산벼랑에 자라는 상록교목으로 높이가 25m에 달하며 수관은 불규칙하게 퍼지고 나무껍질은 회갈색이다. 잎은 비늘 모양이며 뾰족하고 중앙부의 것은 흰점이 약간 있다. 암꽃은 둥글고 연한 자갈색이다. 열매는 구과로 난형이며 종자는 한 실편에 2∼3개 들어 있고 9월에 익는다. ☞ 서양측백나무보다 가지는 수직으로 사방으로 퍼지고 종자에 날개가 없다.,"한국(대구, 단양, 안동, 울진), 중국, 러시아","측백엽(側柏葉), 백자인(柏子仁)","어린 가지를 봄부터 가을까지, 구과는 초겨울에 채취하여 햇볕에 말린다.","각혈, 간질, 간장보호, 개선, 거담지해, 건비위, 고혈압, 곽란, 동상, 부인하혈, 소아경풍, 양모발약, 양혈지혈, 위축신, 위하수, 이완출혈, 이하선염, 임신중요통, 자궁출혈, 자양강장, 장염, 정양, 제습, 지사, 지혈, 진정, 토혈각혈, 풍비, 피부노화방지, 하리, 해수, 혈뇨, 화상 등",(내복): 탕전(湯煎)하거나 환제 또는 가루약으로 복용한다. (외용): 짓이겨 상처 부위에 붙이거나 물로 달여서 닦아낸다.
